START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/18,01:07 PM,01:07 PM,Phillies at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"Local TV: SN",02/23/18,02/23/18,04:07 PM,04:07 PM,FALSE,TRUE,02/23/18,12:07 PM,12:07 PM,FREE,BUSY
02/24/18,01:05 PM,01:05 PM,Blue Jays at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: SN590",02/24/18,02/24/18,04:05 PM,04:05 PM,FALSE,TRUE,02/24/18,12:05 PM,12:05 PM,FREE,BUSY
02/25/18,01:07 PM,01:07 PM,Tigers at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"Local TV: SN ----- Local Radio: SN590",02/25/18,02/25/18,04:07 PM,04:07 PM,FALSE,TRUE,02/25/18,12:07 PM,12:07 PM,FREE,BUSY
02/26/18,01:05 PM,01:05 PM,Blue Jays at Rays,Charlotte Sports Park - Port Charlotte,"",02/26/18,02/26/18,04:05 PM,04:05 PM,FALSE,TRUE,02/26/18,12:05 PM,12:05 PM,FREE,BUSY
02/27/18,01:07 PM,01:07 PM,Yankees at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"",02/27/18,02/27/18,04:07 PM,04:07 PM,FALSE,TRUE,02/27/18,12:07 PM,12:07 PM,FREE,BUSY
02/28/18,01:07 PM,01:07 PM,Phillies at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"",02/28/18,02/28/18,04:07 PM,04:07 PM,FALSE,TRUE,02/28/18,12:07 PM,12:07 PM,FREE,BUSY
03/01/18,01:05 PM,01:05 PM,Blue Jays at Pirates,LECOM Park - Bradenton,"",03/01/18,03/01/18,04:05 PM,04:05 PM,FALSE,TRUE,03/01/18,12:05 PM,12:05 PM,FREE,BUSY
03/02/18,01:05 PM,01:05 PM,Blue Jays at Twins,CenturyLink Sports Complex - Fort Myers,"",03/02/18,03/02/18,04:05 PM,04:05 PM,FALSE,TRUE,03/02/18,12:05 PM,12:05 PM,FREE,BUSY
03/03/18,01:07 PM,01:07 PM,Twins at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"Local Radio: SN590",03/03/18,03/03/18,04:07 PM,04:07 PM,FALSE,TRUE,03/03/18,12:07 PM,12:07 PM,FREE,BUSY
03/04/18,01:05 PM,01:05 PM,Blue Jays at Phillies,Spectrum Field - Clearwater,"Local Radio: SN590",03/04/18,03/04/18,04:05 PM,04:05 PM,FALSE,TRUE,03/04/18,12:05 PM,12:05 PM,FREE,BUSY
