Nov. 5, 2018	1.908B
Nov. 2, 2018	1.874B
Nov. 1, 2018	1.789B
Oct. 31, 2018	1.722B
Oct. 30, 2018	1.623B
Oct. 29, 2018	1.593B
Oct. 26, 2018	1.802B
Oct. 25, 2018	1.869B
Oct. 24, 2018	1.771B
Oct. 23, 2018	1.934B
Oct. 22, 2018	1.950B
Oct. 19, 2018	2.266B
Oct. 18, 2018	2.491B
Oct. 17, 2018	2.471B
Oct. 16, 2018	2.645B
Oct. 15, 2018	2.694B
Oct. 12, 2018	2.275B
Oct. 11, 2018	2.090B
Oct. 10, 2018	2.234B
Oct. 9, 2018	2.135B
Oct. 5, 2018	2.227B
Oct. 4, 2018	2.338B
Oct. 3, 2018	2.439B
Oct. 2, 2018	2.432B
Oct. 1, 2018	2.622B
Sept. 28, 2018	2.542B
Nov. 5, 2018	1.908B
Nov. 2, 2018	1.874B
Nov. 1, 2018	1.789B
Oct. 31, 2018	1.722B
Oct. 30, 2018	1.623B
Oct. 29, 2018	1.593B
Oct. 26, 2018	1.802B
Oct. 25, 2018	1.869B
Oct. 24, 2018	1.771B
Oct. 23, 2018	1.934B
Oct. 22, 2018	1.950B
Oct. 19, 2018	2.266B
Oct. 18, 2018	2.491B
Oct. 17, 2018	2.471B
Oct. 16, 2018	2.645B
Oct. 15, 2018	2.694B
Oct. 12, 2018	2.275B
Oct. 11, 2018	2.090B
Oct. 10, 2018	2.234B
Oct. 9, 2018	2.135B
Oct. 5, 2018	2.227B
Oct. 4, 2018	2.338B
Oct. 3, 2018	2.439B
Oct. 2, 2018	2.432B
Oct. 1, 2018	2.622B
Sept. 28, 2018	2.542B
Nov. 5, 2018	1.908B
Nov. 2, 2018	1.874B
Nov. 1, 2018	1.789B
Oct. 31, 2018	1.722B
Oct. 30, 2018	1.623B
Oct. 29, 2018	1.593B
Oct. 26, 2018	1.802B
Oct. 25, 2018	1.869B
Oct. 24, 2018	1.771B
Oct. 23, 2018	1.934B
Oct. 22, 2018	1.950B
Oct. 19, 2018	2.266B
Oct. 18, 2018	2.491B
Oct. 17, 2018	2.471B
Oct. 16, 2018	2.645B
Oct. 15, 2018	2.694B
Oct. 12, 2018	2.275B
Oct. 11, 2018	2.090B
Oct. 10, 2018	2.234B
Oct. 9, 2018	2.135B
Oct. 5, 2018	2.227B
Oct. 4, 2018	2.338B
Oct. 3, 2018	2.439B
Oct. 2, 2018	2.432B
Oct. 1, 2018	2.622B
Sept. 28, 2018	2.542B
Nov. 5, 2018	1.908B
Nov. 2, 2018	1.874B
Nov. 1, 2018	1.789B
Oct. 31, 2018	1.722B
Oct. 30, 2018	1.623B
Oct. 29, 2018	1.593B
Oct. 26, 2018	1.802B
Oct. 25, 2018	1.869B
Oct. 24, 2018	1.771B
Oct. 23, 2018	1.934B
Oct. 22, 2018	1.950B
Oct. 19, 2018	2.266B
Oct. 18, 2018	2.491B
Oct. 17, 2018	2.471B
Oct. 16, 2018	2.645B
Oct. 15, 2018	2.694B
Oct. 12, 2018	2.275B
Oct. 11, 2018	2.090B
